Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),40529,In Person,The Living World,GE: B2,3.0,LEC,TR,09:00AM-10:15AM,Allison Harness,SCI164,08/19/22-12/06/22,59,2022,Fall
BIOL 10 (Section 03),40060,In Person,The Living World,GE: B2,3.0,LEC,MW,10:30AM-11:45AM,Phillip Hawkins,SCI164,08/19/22-12/06/22,42,2022,Fall
BIOL 10 (Section 04),47603,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Phillip Hawkins,ONLINE,08/19/22-12/06/22,6,2022,Fall
BIOL 10 (Section 99),41828,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Mary Poffenroth,ONLINE,08/19/22-12/06/22,1,2022,Fall
CHEM 1A (Section 01),40081,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,09:30AM-10:20AM,Resa Kelly,SCI142,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 02),40082,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,10:30AM-11:20AM,Melody Esfandiari,MD101,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 03),41579,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,01:30PM-02:20PM,John Diniz,MD101,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 04),40969,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,08/19/22-12/06/22,35,2022,Fall
CHEM 1A (Section 05),40083,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Shreeyukta Singh,SCI164,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 06),41582,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,Brenda Serrano,SCI164,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 07),40616,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,John Diniz,SCI164,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 08),40739,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Kala Padmanabhan,SCI142,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 09),40084,In Person,General Chemistry,,0,SEM,F,12:30PM-01:20PM,Kala Padmanabhan,SCI142,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 10),40085,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Shreeyukta Singh,DH412,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 11),40086,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Niloofar Salehi,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 12),40087,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Xiao Wang,DH412,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 13),40088,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Sonia Cuellar-Ortiz,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 14),40089,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Xiao Wang,DH412,08/19/22-12/06/22,1,2022,Fall
CHEM 1A (Section 15),40090,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,David Santiago,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 16),40091,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Irina Slobodov,DH412,08/19/22-12/06/22,2,2022,Fall
CHEM 1A (Section 17),40092,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Yujin Hur,DH506,08/19/22-12/06/22,1,2022,Fall
CHEM 1A (Section 18),40093,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Shreeyukta Singh,DH412,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 19),40740,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Neomi Millan,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 20),40094,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,John Diniz,DH412,08/19/22-12/06/22,1,2022,Fall
CHEM 1A (Section 21),40095,In Person,General Chemistry,,0,LAB,W,02:30PM-05:15PM,Victor Maraschin,DH506,08/19/22-12/06/22,1,2022,Fall
CHEM 1A (Section 22),40210,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Shreeyukta Singh,DH412,08/19/22-12/06/22,3,2022,Fall
CHEM 1A (Section 23),40228,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Malik Oliver,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 24),41101,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Tommy Chang,DH412,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 25),48516,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Sonia Cuellar-Ortiz,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 26),41102,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,David Santiago,DH412,08/19/22-12/06/22,2,2022,Fall
CHEM 1A (Section 27),41103,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Tommy Chang,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 28),41104,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Karen Singmaster / Brenda Serrano,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 29),41105,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Tommy Chang,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 30),47168,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Tommy Chang,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 31),47212,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,John Diniz,DH412,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 32),47213,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,Irina Slobodov,DH506,08/19/22-12/06/22,3,2022,Fall
CHEM 1A (Section 33),51139,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Yujin Hur,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 34),51140,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Tommy Chang,DH506,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 35),51141,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Shreeyukta Singh,DH412,08/19/22-12/06/22,1,2022,Fall
CHEM 1A (Section 36),51256,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Kala Padmanabhan,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 37),51384,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Roger Terrill,DH507,08/19/22-12/06/22,2,2022,Fall
CHEM 1A (Section 38),51398,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Minh Hoang Huynh,DH507,08/19/22-12/06/22,0,2022,Fall
CHEM 1A (Section 39),51478,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,David Santiago,DH506,08/19/22-12/06/22,0,2022,Fall
CMPE 30 (Section 01),47262,In Person,Programming Concepts and Methodology,,3.0,LEC,MW,08:00AM-08:50AM,Faramarz Mortezaie,ENG325,08/19/22-12/06/22,20,2022,Fall
CMPE 30 (Section 02),47857,In Person,Programming Concepts and Methodology,,3.0,LAB,M,03:00PM-05:45PM,Suharsh Cherukunnon Arippa,ENG405,08/19/22-12/06/22,0,2022,Fall
CMPE 30 (Section 04),47859,In Person,Programming Concepts and Methodology,,3.0,LEC,TR,10:30AM-11:20AM,Loc Lam,ENG325,08/19/22-12/06/22,0,2022,Fall
CMPE 30 (Section 05),47860,In Person,Programming Concepts and Methodology,,3.0,LAB,T,03:00PM-05:45PM,Supriya Bhupathiraju,ENG405,08/19/22-12/06/22,0,2022,Fall
CMPE 30 (Section 06),47861,In Person,Programming Concepts and Methodology,,3.0,LAB,R,03:00PM-05:45PM,Supriya Bhupathiraju,ENG405,08/19/22-12/06/22,0,2022,Fall
CMPE 50 (Section 01),46823,In Person,Object-Oriented Concepts and Methodology,,3.0,LEC,TR,04:30PM-05:20PM,Chao-Li Tarng,ENG337,08/19/22-12/06/22,0,2022,Fall
CMPE 50 (Section 02),46824,In Person,Object-Oriented Concepts and Methodology,,3.0,LAB,T,01:30PM-04:20PM,Shreyas Kulkarni,ENG489,08/19/22-12/06/22,0,2022,Fall
CMPE 50 (Section 03),46825,In Person,Object-Oriented Concepts and Methodology,,3.0,LAB,R,01:30PM-04:20PM,Shreyas Kulkarni,ENG489,08/19/22-12/06/22,1,2022,Fall
CMPE 50 (Section 04),51305,In Person,Object-Oriented Concepts and Methodology,,3.0,LEC,MW,04:30PM-05:20PM,Chao-Li Tarng,ENG325,08/19/22-12/06/22,5,2022,Fall
CMPE 50 (Section 05),51306,In Person,Object-Oriented Concepts and Methodology,,3.0,LAB,W,01:30PM-04:20PM,Shreyas Kulkarni,ENG489,08/19/22-12/06/22,5,2022,Fall
CMPE 102 (Section 01),43301,In Person,Assembly Language Programming,,3.0,SEM,TR,09:00AM-10:15AM,Loc Lam,ENG343,08/19/22-12/06/22,0,2022,Fall
CMPE 102 (Section 02),43302,In Person,Assembly Language Programming,,3.0,SEM,MW,09:00AM-10:15AM,Faramarz Mortezaie,ENG341,08/19/22-12/06/22,0,2022,Fall
CMPE 102 (Section 03),43857,In Person,Assembly Language Programming,,3.0,SEM,T,06:00PM-08:45PM,Charan Bhaskar,ENG325,08/19/22-12/06/22,0,2022,Fall
CMPE 110 (Section 01),42563,In Person,Electronics for Computing Systems,,3.0,LEC,MW,12:00PM-12:50PM,Ahmet Bindal,ENG337,08/19/22-12/06/22,0,2022,Fall
CMPE 110 (Section 02),42564,In Person,Electronics for Computing Systems,,3.0,LAB,T,01:30PM-04:20PM,Ahmet Bindal,ENG286,08/19/22-12/06/22,0,2022,Fall
CMPE 110 (Section 03),47063,In Person,Electronics for Computing Systems,,3.0,LAB,T,04:30PM-07:15PM,Ahmet Bindal,ENG286,08/19/22-12/06/22,0,2022,Fall
CMPE 110 (Section 04),51392,In Person,Electronics for Computing Systems,,3.0,LAB,W,07:30PM-10:20PM,Dharmik Vijay Joshi,ENG286,08/19/22-12/06/22,13,2022,Fall
CMPE 120 (Section 01),43303,In Person,Computer Organization and Architecture,,3.0,SEM,MW,01:30PM-02:45PM,Jahan Ghofraniha,ENG301,08/19/22-12/06/22,9,2022,Fall
CMPE 120 (Section 02),43858,In Person,Computer Organization and Architecture,,3.0,SEM,TR,03:00PM-04:15PM,Preetpal Kang,ENG325,08/19/22-12/06/22,3,2022,Fall
CMPE 124 (Section 01),42567,In Person,Digital Design I,,3.0,SEM,MW,01:30PM-02:20PM,Ahmet Bindal,ENG331,08/19/22-12/06/22,1,2022,Fall
CMPE 124 (Section 02),42568,In Person,Digital Design I,,3.0,LAB,M,02:30PM-05:20PM,Ahmet Bindal,ENG286,08/19/22-12/06/22,0,2022,Fall
CMPE 124 (Section 03),42569,In Person,Digital Design I,,3.0,LAB,W,04:30PM-07:15PM,Ahmet Bindal,ENG286,08/19/22-12/06/22,1,2022,Fall
CMPE 124 (Section 06),51393,In Person,Digital Design I,,3.0,LAB,M,05:30PM-08:20PM,Karthik Bharadwaj Kunigal Raveendra,ENG286,08/19/22-12/06/22,12,2022,Fall
CMPE 125 (Section 01),40249,In Person,Digital Design II,,3.0,SEM,MW,12:00PM-12:50PM,Jahan Ghofraniha,BBC003,08/19/22-12/06/22,25,2022,Fall
CMPE 125 (Section 02),40258,In Person,Digital Design II,,3.0,LAB,T,01:30PM-04:20PM,Saicharan Reddy Kadari,ENG288,08/19/22-12/06/22,0,2022,Fall
CMPE 126 (Section 01),44571,In Person,Algorithms and Data Structure Design,,3.0,LEC,TR,09:00AM-09:50AM,Faramarz Mortezaie,ENG337,08/19/22-12/06/22,2,2022,Fall
CMPE 126 (Section 02),42576,In Person,Algorithms and Data Structure Design,,3.0,LAB,T,01:30PM-04:15PM,Bhaummi Patel,ENG206,08/19/22-12/06/22,0,2022,Fall
CMPE 126 (Section 03),42577,In Person,Algorithms and Data Structure Design,,3.0,LAB,R,04:30PM-07:15PM,Bhaummi Patel,ENG206,08/19/22-12/06/22,2,2022,Fall
CMPE 127 (Section 01),43341,In Person,Microprocessor Design I,,3.0,SEM,MW,09:00AM-09:50AM,Charan Bhaskar,ENG337,08/19/22-12/06/22,0,2022,Fall
CMPE 127 (Section 06),50574,In Person,Microprocessor Design I,,3.0,LAB,M,03:00PM-05:45PM,Zeel Jayeshkumar Soni,ENG288,08/19/22-12/06/22,1,2022,Fall
CMPE 127 (Section 07),50575,In Person,Microprocessor Design I,,3.0,LAB,W,01:00PM-03:45PM,Zeel Jayeshkumar Soni,ENG288,08/19/22-12/06/22,0,2022,Fall
CMPE 130 (Section 01),43344,Fully Online,Advanced Algorithm Design,,3.0,LEC,R,06:00PM-08:45PM,Pouya Ostovari,ONLINE,08/19/22-12/06/22,0,2022,Fall
CMPE 131 (Section 01),43345,In Person,Software Engineering I,,3.0,SEM,TR,10:30AM-11:45AM,Carlos Rojas,ENG341,08/19/22-12/06/22,0,2022,Fall
CMPE 131 (Section 02),43346,In Person,Software Engineering I,,3.0,SEM,TR,01:30PM-02:45PM,Andrew Bond,ENG337,08/19/22-12/06/22,0,2022,Fall
CMPE 131 (Section 03),43348,In Person,Software Engineering I,,3.0,SEM,R,06:00PM-08:45PM,Frank Butt,ENG341,08/19/22-12/06/22,8,2022,Fall
CMPE 132 (Section 01),46827,Fully Online,Information Security,,3.0,SEM,TR,09:00AM-10:15AM,Hee Park,ONLINE,08/19/22-12/06/22,1,2022,Fall
CMPE 133 (Section 01),43665,In Person,Software Engineering II,,3.0,LEC,W,06:00PM-08:45PM,Ishie Eswar,ENG341,08/19/22-12/06/22,16,2022,Fall
CMPE 133 (Section 02),44221,In Person,Software Engineering II,,3.0,LEC,T,06:00PM-08:45PM,Ishie Eswar,ENG341,08/19/22-12/06/22,21,2022,Fall
CMPE 135 (Section 01),43350,Fully Online,Object-Oriented Analysis and Design,,3.0,SEM,TR,01:30PM-02:45PM,Robert Nicholson,ONLINE,08/19/22-12/06/22,29,2022,Fall
CMPE 140 (Section 01),40666,In Person,Computer Architecture and Design,,3.0,SEM,MW,03:00PM-03:50PM,Bhargavibahen Trivedi,ENG337,08/19/22-12/06/22,7,2022,Fall
CMPE 140 (Section 02),40738,In Person,Computer Architecture and Design,,3.0,LAB,M,08:30AM-11:15AM,Bhargavibahen Trivedi,ENG288,08/19/22-12/06/22,7,2022,Fall
CMPE 140 (Section 03),41502,In Person,Computer Architecture and Design,,3.0,LAB,M,11:30AM-02:20PM,Bhargavibahen Trivedi,ENG288,08/19/22-12/06/22,0,2022,Fall
CMPE 142 (Section 01),43351,In Person,Operating Systems Design,,3.0,SEM,MW,12:00PM-01:15PM,Chandrasekhar Mukherjee,ENG325,08/19/22-12/06/22,25,2022,Fall
CMPE 142 (Section 02),43352,In Person,Operating Systems Design,,3.0,SEM,MW,06:00PM-07:15PM,Juan Gomez,ENG325,08/19/22-12/06/22,23,2022,Fall
CMPE 146 (Section 03),44572,In Person,Real-Time Embedded System Co-Design,,3.0,SEM,MW,10:30AM-11:20AM,Wo-Tak Wu,ENG337,08/19/22-12/06/22,8,2022,Fall
CMPE 146 (Section 04),46828,In Person,Real-Time Embedded System Co-Design,,3.0,LAB,M,11:30AM-02:15PM,Wo-Tak Wu,ENG405,08/19/22-12/06/22,8,2022,Fall
CMPE 146 (Section 05),46829,In Person,Real-Time Embedded System Co-Design,,3.0,LAB,W,11:30AM-02:15PM,Wo-Tak Wu,ENG405,08/19/22-12/06/22,0,2022,Fall
CMPE 148 (Section 01),43359,In Person,Computer Networks I,,3.0,SEM,TR,10:30AM-11:45AM,Ammar Rayes,ENG343,08/19/22-12/06/22,4,2022,Fall
CMPE 148 (Section 02),43360,In Person,Computer Networks I,,3.0,SEM,MW,10:30AM-11:45AM,Kaikai Liu,CL222,08/19/22-12/06/22,18,2022,Fall
CMPE 148 (Section 03),45459,In Person,Computer Networks I,,3.0,SEM,R,06:00PM-08:45PM,Andrew Bond,CL222,08/19/22-12/06/22,16,2022,Fall
CMPE 152 (Section 01),43715,In Person,Compiler Design,,3.0,LEC,TR,03:00PM-04:15PM,Robert Nicholson,ENG337,08/19/22-12/06/22,3,2022,Fall
CMPE 165 (Section 01),43666,In Person,Software Engineering Process Management,,3.0,SEM,M,06:00PM-08:45PM,Ishie Eswar,CL222,08/19/22-12/06/22,20,2022,Fall
CMPE 165 (Section 03),50576,In Person,Software Engineering Process Management,,3.0,SEM,MW,10:30AM-11:45AM,Hsin-Yi Meng,ENG331,08/19/22-12/06/22,5,2022,Fall
CMPE 172 (Section 01),43749,In Person,Enterprise Software Platforms,,3.0,LEC,M,06:00PM-08:45PM,Paul Nguyen,DMH234,08/19/22-12/06/22,18,2022,Fall
CMPE 172 (Section 02),47065,In Person,Enterprise Software Platforms,,3.0,LEC,TR,01:30PM-02:45PM,Charan Bhaskar,CL222,08/19/22-12/06/22,0,2022,Fall
CMPE 187 (Section 02),50577,In Person,Software Quality Engineering,,3.0,SEM,TR,03:00PM-04:15PM,Zeyu Gao,CL222,08/19/22-12/06/22,6,2022,Fall
CMPE 187 (Section 03),50704,In Person,Software Quality Engineering,,3.0,SEM,MW,03:00PM-04:15PM,Ishie Eswar,ENG325,08/19/22-12/06/22,0,2022,Fall
CMPE 195A (Section 01),43364,In Person,Senior Design Project I,GE: S,2.0,LAB,W,06:00PM-08:45PM,Wencen Wu,ENG337,08/19/22-12/06/22,17,2022,Fall
CMPE 195B (Section 01),43365,In Person,Senior Design Project II,GE: V,3.0,LAB,W,06:00PM-08:45PM,Wencen Wu,ENG337,08/19/22-12/06/22,7,2022,Fall
CS 42 (Section 01),50032,In Person,Discrete Mathematics,,3.0,SEM,MW,09:00AM-10:15AM,Medha Bodas,MH323,08/19/22-12/06/22,34,2022,Fall
CS 42 (Section 02),50033,In Person,Discrete Mathematics,,3.0,SEM,MW,10:30AM-11:45AM,Medha Bodas,MH323,08/19/22-12/06/22,30,2022,Fall
CS 42 (Section 03),50034,In Person,Discrete Mathematics,,3.0,SEM,MW,12:00PM-01:15PM,Richard Low,MH424,08/19/22-12/06/22,30,2022,Fall
CS 42 (Section 04),50035,In Person,Discrete Mathematics,,3.0,SEM,TR,09:00AM-10:15AM,Sogol Jahanbekam,MH323,08/19/22-12/06/22,29,2022,Fall
CS 42 (Section 05),50036,In Person,Discrete Mathematics,,3.0,SEM,TR,10:30AM-11:45AM,Wasin So,MH323,08/19/22-12/06/22,28,2022,Fall
CS 42 (Section 06),50037,In Person,Discrete Mathematics,,3.0,SEM,TR,01:30PM-02:45PM,Richard Low,MH323,08/19/22-12/06/22,35,2022,Fall
CS 42X (Section 07),50266,In Person,Discrete Mathematics,,3.0,LEC,TR,04:30PM-05:45PM,Wasin So,MH323,08/19/22-12/06/22,4,2022,Fall
CS 42X (Section 60),50267,In Person,Discrete Mathematics,,3.0,LEC,MW,04:30PM-05:45PM,Richard Low,MH323,08/19/22-12/06/22,4,2022,Fall
CS 42X (Section 61),51445,In Person,Discrete Mathematics,,3.0,LEC,MW,12:00PM-01:15PM,Anqi Shao,MH523,08/19/22-12/06/22,8,2022,Fall
CS 46A (Section 01),43272,Fully Online,Introduction to Programming,,4.0,LEC,TR,01:30PM-02:45PM,Qi Yang,ONLINE,08/19/22-12/06/22,4,2022,Fall
CS 46A (Section 11),43308,In Person,Introduction to Programming,,4.0,LAB,F,07:30AM-10:15AM,Qi Yang,MH222,08/19/22-12/06/22,0,2022,Fall
CS 46A (Section 12),43309,In Person,Introduction to Programming,,4.0,LAB,F,11:00AM-01:45PM,Qi Yang,MH223,08/19/22-12/06/22,0,2022,Fall
CS 46A (Section 13),43310,In Person,Introduction to Programming,,4.0,LAB,F,02:00PM-04:45PM,Qi Yang,MH223,08/19/22-12/06/22,0,2022,Fall
CS 46A (Section 14),43311,In Person,Introduction to Programming,,4.0,LAB,F,07:30AM-10:15AM,Qi Yang,SCI311,08/19/22-12/06/22,0,2022,Fall
CS 46A (Section 15),43312,In Person,Introduction to Programming,,4.0,LAB,F,11:00AM-01:45PM,Qi Yang,SCI311,08/19/22-12/06/22,1,2022,Fall
CS 46A (Section 16),43313,In Person,Introduction to Programming,,4.0,LAB,F,02:00PM-04:45PM,Qi Yang,SCI311,08/19/22-12/06/22,8,2022,Fall
CS 46B (Section 01),43273,In Person,Introduction to Data Structures,,4.0,LEC,MW,01:30PM-02:45PM,Faranak Abri,WSQ109,08/19/22-12/06/22,3,2022,Fall
